id,name,password,stocks1,stocks2,stocks3,stocks4,stocks5,stocks6,stocks7,stocks8,stocks9,stocks10,stocks11,stocks12,stocks13,stocks14,stocks15,amount_left
1,Investor1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Investor2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Investor3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Investor4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Investor5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Investor6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Investor7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Investor8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Investor9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Investor10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Investor11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Investor12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Investor13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Investor14,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Investor15,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
